pcon-imd-pop-decile,Conservative,Liberal Democrat,Labour,UKIP / Brexit,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
1,13.479948034820053,4.184106819282512,41.19041647426641,12.31564297650818,2.941137396531602,2.7971341050277965,0.0,5.518220623348662,6.631075805635412,3.3979462723196048,3.7596654711347273,1.7165659341433535,2.0681400869816917
2,22.47017340300093,3.8803018259490454,47.145122828695314,15.73977871622258,3.6410109587080104,0.0,0.8761692365069259,1.7776915513597613,0.43390305555450914,0.5803330934899473,0.8116752244293673,0.7126362304154062,1.9312038756682022
3,26.331656887198513,5.14190558830505,42.623410104964776,13.314275969449941,3.82198191329819,7.403710632833935,0.432785353511831,0.0,0.0,0.0,0.0,0.0,0.9302735504377652
4,30.496221934584227,6.1573088218042855,38.999834972671074,12.541546789887073,3.688659043597039,6.409853655885545,1.0702254246802678,0.0,0.0,0.0,0.0,0.0,0.6363493568904875
5,35.6416093578472,7.972789088678275,32.31084290462471,14.097061103969876,4.053060748504883,4.816914055105663,0.27155411211220537,0.0,0.0,0.0,0.0,0.0,0.8361686291571812
6,38.1851868631087,6.456498068333956,29.345701828248096,11.517291262120754,3.0180231549972585,8.585845488587314,2.3343399138600356,0.0,0.0,0.0,0.0,0.0,0.5571134207438907
7,42.85165692679588,8.426701113151532,24.941690011175822,12.0155193804556,4.209335013809774,6.466316211838496,0.6297786497437438,0.0,0.0,0.0,0.0,0.0,0.4590026930291409
8,44.393402680730574,9.22682917937563,24.790135008688676,11.675456611294067,3.8283651918192754,5.255070420823663,0.14965184528077188,0.0,0.0,0.0,0.0,0.0,0.6810890619873377
9,50.50772873214974,11.041788873984318,17.86564211537998,12.948499039918977,4.054043453363073,2.4802601588600703,0.06685266874633378,0.0,0.0,0.0,0.0,0.0,1.035184957597511
10,51.74539963200492,13.50718323417624,15.097877184934994,11.02464811114757,4.196266333146072,2.7422677224334406,0.0,0.0,0.0,0.0,0.0,0.0,1.6863577821567628
