pcon-imd-pop-decile,Conservative,Liberal Democrat,Labour,UKIP / Brexit,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
1,18.805032080239222,2.447748561679032,48.95448610229478,2.333332213799597,0.997541877092362,1.5600702619373084,0.0,8.240029525836414,8.279959562441434,2.909668181395812,2.273399841100845,1.6706801951123396,1.528051597070852
2,28.724233499262375,2.61929426965005,57.24474878198227,3.0613084980449705,1.3097172012795537,0.0,0.8445460096628647,2.5051910484499023,0.5968961261308288,0.6112947825364967,0.7833429616319599,0.6930973681988682,1.006329453169859
3,33.29845903163034,4.252046958748049,53.226254202928146,2.095258062434333,1.2651381387708107,4.518213912183003,0.2614889710589962,0.0,0.0,0.0,0.0,0.0,1.083140722246333
4,37.09462863860876,5.463638723271065,48.80271672608551,2.171777704829594,1.2252432100933142,3.9963305367035393,0.8586467772595063,0.0,0.0,0.0,0.0,0.0,0.38701768314871504
5,42.397972666570375,7.111686873356623,42.69162823054232,2.2067055137994775,1.987630642352625,2.8374405798435984,0.17315965439969322,0.0,0.0,0.0,0.0,0.0,0.5937758391352802
6,44.64593213106519,6.090984199424388,38.721669577007,1.2818107259912055,1.124440503463658,5.4598085530715945,2.1796381090151953,0.0,0.0,0.0,0.0,0.0,0.49571620096177416
7,48.22060586863214,7.5823405622081745,34.72398116241537,1.7309941382230525,2.2542341129534105,4.4785063253886035,0.6289930733050104,0.0,0.0,0.0,0.0,0.0,0.3803447568742469
8,49.80752320298173,8.450506424342866,34.635159444561964,1.1845801785611267,1.6832250323562645,3.700851548118325,0.08761394620556148,0.0,0.0,0.0,0.0,0.0,0.4505402228721641
9,55.59987369469448,11.19115083885919,26.884028638476103,1.4382390703484385,2.0974470470570723,1.6792763318045938,0.0483521191609878,0.0,0.0,0.0,0.0,0.0,1.0616322595991337
10,54.54102418830965,15.245743020312542,23.093353336826294,1.374411518690172,2.070946110218445,1.8705742681578958,0.0,0.0,0.0,0.0,0.0,0.0,1.8039475574850015
