pcon-imd-pop-decile,Conservative,Liberal Democrat,Labour,UKIP / Brexit,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
1,15.524876993463502,16.012946727331652,36.973428904536824,2.304062898534865,0.5307484774126748,0.7284428151134943,0.0,5.4876698837067375,6.965726527743287,3.8500940700116586,3.012260668633649,1.2202164241610514,7.389525609350602
2,23.415322954643685,18.081372816536113,42.87288369445534,3.183420780291394,0.6999476973156292,0.0,0.6483377637311865,1.45612366679149,0.24800478151987215,0.7503260739465281,1.185104164702269,0.529992837726592,6.929162768339904
3,26.952558926385567,19.77459760884916,42.416079623049995,2.840576901937477,1.1292849836695986,2.2700841579269984,0.26519901104654303,0.0,0.0,0.0,0.0,0.0,4.351618787134662
4,30.007436326454734,21.030068923729456,37.9006493014673,2.4927185970130754,1.071691695413577,2.141627591525342,1.1597226525651883,0.0,0.0,0.0,0.0,0.0,4.196084911831333
5,35.48515810682054,22.927504453605458,31.86447977091953,3.1337666803979793,0.9062666149162871,1.669868182803113,0.26509029840262094,0.0,0.0,0.0,0.0,0.0,3.7478658921344756
6,36.59942325563821,21.0884331582731,30.5417833472476,2.7848615842847746,0.839904742391753,3.421931855826287,2.2470749914250563,0.0,0.0,0.0,0.0,0.0,2.4765870649132196
7,41.630526950267665,23.646835795431326,23.905017673981448,3.2641953741163006,1.4351809284459156,2.7986570838952227,0.7500906685464427,0.0,0.0,0.0,0.0,0.0,2.56949552531568
8,42.53598417689101,25.606896606069203,23.608173171635027,3.3429942554549537,1.093244446545787,1.8705940757901705,0.12712071424631413,0.0,0.0,0.0,0.0,0.0,1.8149925533675326
9,48.010108405929735,28.235197162410746,16.343866691380335,3.850958730653646,0.922418817534288,0.6634013286472569,0.0472455516141288,0.0,0.0,0.0,0.0,0.0,1.9268033118298635
10,49.48602512883513,29.693242128406048,12.809973059675478,3.432431710110008,0.8739379012744156,0.8077104600883483,0.0,0.0,0.0,0.0,0.0,0.0,2.8966796116105664
